A,C,P,B,L,R,LA
3,1,81,18.6584,150,1,3
3,1,81,18.6584,150,1,3
3,1,81,18.6584,150,1,3
3,1,81,18.6584,150,1,3
3,1,81,18.6584,150,1,3
3,1,81,18.6584,150,1,3
3,1,81,18.6584,150,1,3
3,1,81,18.6584,150,1,3
3,1,81,18.6584,150,1,3
3,1,81,18.6584,150,1,3
3,1,81,18.6584,150,1,3
3,1,81,18.6584,150,1,3
3,1,81,18.6584,150,1,3
3,1,81,18.6584,150,1,3
3,1,81,18.6584,150,1,3
3,1,81,18.6584,150,1,3
3,1,81,18.6584,150,1,3
3,1,81,18.6584,150,1,3
3,1,81,18.6584,150,1,3
3,1,81,18.6584,150,1,3
3,1,81,18.6584,150,1,3
3,1,81,18.6584,150,1,3
3,1,81,18.6584,150,1,3
3,1,81,18.6584,150,1,3
3,1,81,18.6584,150,1,3
3,1,81,18.6584,150,1,3
3,1,81,18.6584,150,1,3
3,1,81,18.6584,150,1,3
3,1,81,18.6584,150,1,3
3,1,81,18.6584,150,1,3
3,1,81,18.6584,150,1,3
3,1,81,18.6584,150,1,3
3,1,81,18.6584,150,1,3
3,1,81,18.6584,150,1,3
3,1,81,18.6584,150,1,3
3,1,81,18.6584,150,1,3
3,1,81,18.6584,150,1,3
3,1,81,18.6584,150,1,3
3,1,81,18.6584,150,1,3
3,1,81,18.6584,150,1,3
3,1,81,18.6584,150,1,3
3,1,81,18.6584,150,1,3
3,1,81,18.6584,150,1,3
3,1,87,18.835,160,1,4
3,1,87,18.835,160,1,4
3,1,87,18.835,160,1,4
3,1,87,18.835,160,1,4
3,1,87,18.835,160,1,4
3,1,87,18.835,160,1,4
3,1,87,18.835,160,1,4
3,1,87,18.835,160,1,4
3,1,87,18.835,160,1,4
3,1,87,18.835,160,1,4
3,1,87,18.835,160,1,4
3,1,87,18.835,160,1,4
3,1,87,18.835,160,1,4
3,1,87,18.835,160,1,4
3,1,87,18.835,160,1,4
3,1,87,18.835,160,1,4
3,1,87,18.835,160,1,4
3,1,87,18.835,160,1,4
3,1,87,18.835,160,1,4
3,1,87,18.835,160,1,4
3,1,87,18.835,160,1,4
3,1,87,18.835,160,1,4
3,1,87,18.835,160,1,4
3,1,87,18.835,160,1,4
3,1,87,18.835,160,1,4
3,1,87,18.835,160,1,4
3,1,87,18.835,160,1,4
3,1,87,18.835,160,1,4
3,1,87,18.835,160,1,4
3,1,87,18.835,160,1,4
3,1,87,18.835,160,1,4
3,1,87,18.835,160,1,4
3,1,87,18.835,160,1,4
3,1,87,18.835,160,1,4
3,1,87,18.835,160,1,4
3,1,87,18.835,160,1,4
3,1,87,18.835,160,1,4
3,1,87,18.835,160,1,4
3,1,87,18.835,160,1,4
3,1,87,18.835,160,1,4
3,1,87,18.835,160,1,4
3,1,87,18.835,160,1,4
3,1,87,18.835,160,1,4
3,1,87,18.835,160,1,4
3,1,87,18.835,160,1,4
3,1,87,18.835,160,1,4
3,1,87,18.835,160,1,4
3,1,87,18.835,160,1,4
3,1,87,18.835,160,1,4
3,1,87,18.835,160,1,4
3,1,87,18.835,160,1,4
3,1,87,18.835,160,1,4
3,1,87,18.835,160,1,4
3,1,87,18.835,160,1,4
3,1,87,18.835,160,1,4
3,1,87,18.835,160,1,4
3,1,87,18.835,160,1,4
3,1,87,18.835,160,1,4
3,1,87,18.835,160,1,4
3,1,87,18.835,160,1,4
3,1,87,18.835,160,1,4
3,1,87,18.835,160,1,4
3,1,87,18.835,160,1,4
3,1,87,18.835,160,1,4
3,1,87,18.835,160,1,4
3,1,87,18.835,160,1,4
3,1,87,18.835,160,1,4
3,1,87,18.835,160,1,4
3,1,87,18.835,160,1,4
3,1,87,18.835,160,1,4
3,1,87,18.835,160,1,4
3,1,87,18.835,160,1,4
3,1,87,18.835,160,1,4
3,1,87,18.835,160,1,4
3,1,87,18.835,160,1,4
3,1,90,21.6237,210,1,5
3,1,90,21.6237,210,1,5
3,1,90,21.6237,210,1,5
3,1,90,21.6237,210,1,5
3,1,90,21.6237,210,1,5
3,1,90,21.6237,210,1,5
3,1,90,21.6237,210,1,5
3,1,90,21.6237,210,1,5
3,1,90,21.6237,210,1,5
3,1,90,21.6237,210,1,5
3,1,90,21.6237,210,1,5
3,1,90,21.6237,210,1,5
3,1,90,21.6237,210,1,5
3,1,90,21.6237,210,1,5
3,1,90,21.6237,210,1,5
3,1,90,21.6237,210,1,5
3,1,90,21.6237,210,1,5
3,1,90,21.6237,210,1,5
3,1,90,21.6237,210,1,5
3,1,90,21.6237,210,1,5
3,1,90,21.6237,210,1,5
3,1,90,21.6237,210,1,5
3,1,90,21.6237,210,1,5
3,1,90,21.6237,210,1,5
3,1,90,21.6237,210,1,5
3,1,90,21.6237,210,1,5
3,1,90,21.6237,210,1,5
3,1,90,21.6237,210,1,5
3,1,90,21.6237,210,1,5
3,1,90,21.6237,210,1,5
3,1,90,21.6237,210,1,5
3,1,90,21.6237,210,1,5
3,1,90,21.6237,210,1,5
3,1,90,21.6237,210,1,5
3,1,90,21.6237,210,1,5
3,1,90,21.6237,210,1,5
3,1,90,21.6237,210,1,5
3,1,90,21.6237,210,1,5
3,1,90,21.6237,210,1,5
3,1,90,21.6237,210,1,5
3,1,90,21.6237,210,1,5
3,1,90,21.6237,210,1,5
3,1,90,21.6237,210,1,5
3,1,90,21.6237,210,1,5
3,1,90,21.6237,210,1,5
3,1,90,21.6237,210,1,5
3,1,90,21.6237,210,1,5
3,1,90,21.6237,210,1,5
3,1,90,21.6237,210,1,5
3,1,90,21.6237,210,1,5
3,1,90,21.6237,210,1,5
3,1,90,21.6237,210,1,5
3,1,90,21.6237,210,1,5
3,1,90,21.6237,210,1,5
3,1,90,21.6237,210,1,5
3,1,90,21.6237,210,1,5
3,1,90,21.6237,210,1,5
3,1,90,21.6237,210,1,5
3,1,90,21.6237,210,1,5
3,1,90,21.6237,210,1,5
3,1,90,21.6237,210,1,5
3,1,90,21.6237,210,1,5
3,1,90,21.6237,210,1,5
3,1,90,21.6237,210,1,5
3,1,90,21.6237,210,1,5
3,1,90,21.6237,210,1,5
3,1,90,21.6237,210,1,5
